run,cpu,issueWidth,numROBEntries,LQEntries,SQEntries,simSeconds,simInsts,totalCycles,IPC,CPI,L1I_misses,L1D_misses,L2_misses,MPKI_I,MPKI_D,MPKI_L2
out_o3_default,o3,,,,,0.014884,31414282,44697084,0.702826207,1.422826853,1444,465372,184181,0.045966354,14.81402631,5.862970225
out_o3_issue2,o3,2,,,,0.015782,31414247,47392221,0.662856611,1.5086219,1432,464187,184179,0.045584413,14.77632107,5.862913092
out_o3_issue4,o3,4,,,,0.014884,31414282,44697084,0.702826207,1.422826853,1444,465372,184181,0.045966354,14.81402631,5.862970225
out_o3_issue6,o3,6,,,,0.01487,31414282,44655495,0.70348077,1.421502965,1442,465195,184151,0.045902688,14.80839193,5.862015245
out_o3_lq16,o3,,,16,,0.015145,31414303,45479871,0.690729818,1.447744074,1426,465303,184174,0.045393336,14.81181995,5.862743477
out_o3_lq32,o3,,,32,,0.014884,31414282,44697084,0.702826207,1.422826853,1444,465372,184181,0.045966354,14.81402631,5.862970225
out_o3_lq64,o3,,,64,,0.014884,31414282,44697084,0.702826207,1.422826853,1444,465372,184181,0.045966354,14.81402631,5.862970225
out_o3_rob128,o3,,128,,,0.014884,31414282,44697084,0.702826207,1.422826853,1444,465372,184181,0.045966354,14.81402631,5.862970225
out_o3_rob192,o3,,192,,,0.014394,31414306,43225804,0.726748911,1.375991053,1445,465328,184172,0.045998151,14.81261435,5.862679252
out_o3_rob64,o3,,64,,,0.015542,31414215,46673500,0.673063194,1.48574459,1418,464701,184183,0.045138801,14.79269815,5.863046395
out_o3_sq16,o3,,,,16,0.015835,31414193,47551674,0.660632747,1.51370032,1412,461862,184215,0.044947836,14.70233534,5.864069149
out_o3_sq32,o3,,,,32,0.015106,31414306,45364295,0.692489677,1.444064847,1439,462809,184205,0.045807156,14.73242796,5.863729729
out_o3_sq64,o3,,,,64,0.014884,31414282,44697084,0.702826207,1.422826853,1444,465372,184181,0.045966354,14.81402631,5.862970225
out_timing,timing,,,,,0.047209,31414218,141769416,0.221586707,4.512906099,1195,460104,183835,0.0380401,14.64636172,5.851968048
