config,outdir,simSeconds,hostSeconds,bytesRead,bytesWritten,bytesTotal,throughput_Bps,avgMemAccLat_ticks,avgMemAccLat_ns
cmp_ddr4,log/cmp_ddr4,0.001,1.41,11761984.0,3078208.0,14840192.0,14840192000.0,347891.93,347.89193
cmp_ddr4_bw16GiBs,log/cmp_ddr4_bw16GiBs,0.001,1.97,11724800.0,3067072.0,14791872.0,14791872000.0,328082.13,328.08213
cmp_ddr4_bw32GiBs,log/cmp_ddr4_bw32GiBs,0.001,1.85,11761984.0,3078208.0,14840192.0,14840192000.0,347891.93,347.89193
cmp_ddr4_r100,log/cmp_ddr4_r100,0.001,1.26,14534400.0,0.0,14534400.0,14534400000.0,281725.47,281.72547
cmp_ddr4_r50,log/cmp_ddr4_r50,0.001,1.76,6895488.0,7026432.0,13921920.0,13921920000.0,320521.35,320.52135
cmp_simple,log/cmp_simple,0.001,0.98,25373120.0,6624704.0,31997824.0,31997824000.0,,
cmp_simple_bw16GiBs,log/cmp_simple_bw16GiBs,0.001,0.52,13623552.0,3556480.0,17180032.0,17180032000.0,,
cmp_simple_bw32GiBs,log/cmp_simple_bw32GiBs,0.001,0.99,25373120.0,6624704.0,31997824.0,31997824000.0,,
cmp_simple_r100,log/cmp_simple_r100,0.001,0.66,31997760.0,0.0,31997760.0,31997760000.0,,
cmp_simple_r50,log/cmp_simple_r50,0.001,1.29,15869056.0,16128768.0,31997824.0,31997824000.0,,
dual,log/dual,0.001,3.1,22911680.0,5993984.0,28905664.0,28905664000.0,276859.45,276.85945000000004
single,log/single,0.001,1.6,11761984.0,3078208.0,14840192.0,14840192000.0,347891.93,347.89193
